image_name,target_len,prediction_len,length_ratio,token_edit_distance,normalized_token_edit_distance,char_edit_distance,exact_match_bool,graph_em_ok,graph_structure_ok,chemfig_count,arrow_count,branch_count,ring_anchor_count,angle_bond_count,max_brace_depth,max_paren_depth,structure_score
valid_00374.jpg,144,144,1.0,59.0,0.5175438596491229,203.0,False,False,False,1,0,30,16,47,2,9,400
valid_00375.jpg,158,116,0.7341772151898734,81.0,0.675,356.0,False,False,False,1,0,38,12,47,2,11,426
valid_00376.jpg,172,142,0.8255813953488372,88.0,0.676923076923077,359.0,False,False,False,1,0,42,15,48,1,11,455
valid_00377.jpg,148,116,0.7837837837837838,61.0,0.5545454545454546,267.0,False,False,False,1,0,38,12,47,1,14,408
valid_00378.jpg,168,160,0.9523809523809523,68.0,0.53125,311.0,False,False,False,1,0,40,10,49,2,8,440
valid_00379.jpg,163,123,0.754601226993865,75.0,0.5813953488372093,276.0,False,False,False,1,0,34,12,48,2,6,421
valid_00380.jpg,138,138,1.0,35.0,0.324074074074074,58.0,False,False,False,1,0,30,10,50,1,7,374
valid_00381.jpg,181,146,0.8066298342541437,51.0,0.3669064748201439,208.0,False,False,False,1,0,42,14,56,2,10,485
valid_00382.jpg,194,124,0.6391752577319587,98.0,0.6282051282051282,474.0,False,False,False,1,0,38,14,56,2,8,486
valid_00383.jpg,176,141,0.8011363636363636,84.0,0.6268656716417911,359.0,False,False,False,1,0,42,10,57,2,12,470
valid_00384.jpg,210,184,0.8761904761904762,65.0,0.4012345679012346,298.0,False,False,False,1,0,48,12,62,2,7,538
valid_00385.jpg,188,164,0.8723404255319149,55.0,0.3666666666666666,265.0,False,False,False,1,0,38,8,59,2,7,468
valid_00386.jpg,75,75,1.0,22.0,0.3728813559322034,109.0,False,False,False,1,0,16,4,18,2,5,195
valid_00387.jpg,54,54,1.0,21.0,0.5,38.0,False,False,False,1,0,12,4,16,1,4,150
valid_00388.jpg,45,45,1.0,16.0,0.4571428571428571,42.0,False,False,False,1,0,10,4,12,1,4,127
valid_00389.jpg,68,68,1.0,30.0,0.5555555555555556,84.0,False,False,False,1,0,14,4,18,2,3,182
valid_00390.jpg,64,65,1.015625,21.0,0.4038461538461538,67.0,False,False,False,1,0,12,4,18,2,3,172
valid_00391.jpg,58,58,1.0,8.0,0.16,4.0,False,True,True,1,0,8,4,18,2,2,154
valid_00392.jpg,43,43,1.0,5.0,0.1428571428571428,11.0,False,True,True,1,0,8,0,11,1,2,105
valid_00393.jpg,55,55,1.0,27.0,0.627906976744186,130.0,False,False,False,1,0,12,2,17,1,4,147
valid_00394.jpg,73,73,1.0,19.0,0.3220338983050847,110.0,False,False,False,1,0,14,2,18,2,3,181
valid_00395.jpg,63,63,1.0,12.0,0.2448979591836734,40.0,False,False,False,1,0,14,2,17,1,4,161
valid_00396.jpg,52,52,1.0,12.0,0.3,50.0,False,False,False,1,0,12,2,18,1,4,146
valid_00397.jpg,49,49,1.0,9.0,0.2307692307692307,6.0,False,False,False,1,0,10,4,11,2,4,137
valid_00398.jpg,62,62,1.0,17.0,0.3541666666666667,56.0,False,False,False,1,0,14,4,18,1,4,168
valid_00399.jpg,33,33,1.0,12.0,0.4444444444444444,16.0,False,False,False,1,0,6,4,11,1,2,101
valid_00400.jpg,60,60,1.0,15.0,0.3,16.0,False,False,False,1,0,10,6,15,2,4,162
valid_00401.jpg,57,57,1.0,13.0,0.2888888888888888,68.0,False,False,False,1,0,12,4,17,1,3,155
valid_00402.jpg,57,56,0.9824561403508771,12.0,0.2790697674418604,62.0,False,False,False,1,0,14,4,17,1,4,161
valid_00403.jpg,63,63,1.0,28.0,0.5714285714285714,78.0,False,False,False,1,0,14,4,18,1,3,169
valid_00404.jpg,46,46,1.0,4.0,0.1052631578947368,2.0,False,True,True,1,0,8,2,10,2,3,120
valid_00405.jpg,60,60,1.0,10.0,0.2083333333333333,53.0,False,True,True,1,0,12,0,18,2,4,156
valid_00406.jpg,53,49,0.9245283018867925,14.0,0.3414634146341463,30.0,False,False,False,1,0,12,4,17,1,4,151
valid_00407.jpg,60,53,0.8833333333333333,21.0,0.4375,112.0,False,False,False,1,0,12,7,17,2,5,175
valid_00408.jpg,44,44,1.0,14.0,0.4117647058823529,30.0,False,False,False,1,0,10,2,12,1,3,120
